UNIT,AC-YEAR,YEAR,MONTH,YM,DEP,STORE,BRAND,SEASON,TYPE,QUALITY,SALES(K),COST(K),PRICE(K),MARGIN(K),ORIGEN,Latitude,Longitude
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,06春秋,1-內著類,1,0.76,0.30457,0.95,0.45543,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,06春夏,2-配飾類,6,1.294,0.5979,1.45,0.6961,G01-1 國內採購,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,06春夏,2-配飾類,4,1.115,0.24742,1.26,0.86758,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,06秋,1-內著類,2,1.039,0.37191,1.32,0.66709,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,06秋冬,0-外出服,4,5.6,2.99604,9.6,2.60396,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,06秋冬,2-配飾類,5,1.337,0.42,1.56,0.917,G01-1 國內採購,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,06秋冬,2-配飾類,4,0.88,0.23149,1.1,0.64851,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,07春秋,1-內著類,19,10.894,3.38184,11.65,7.51216,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,07春夏,0-外出服,17,30.61,11.25813,36.3,19.35187,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,07春夏,2-配飾類,5,1.881,0.626,1.96,1.255,G01-1 國內採購,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,07春夏,2-配飾類,8,2.174,0.50005,2.28,1.67395,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,07夏,1-內著類,5,3.663,0.91828,4.07,2.74472,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,常年性,0-外出服,1,2.712,0.57105,3.39,2.14095,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,常年性,1-內著類,1,0.312,0.08063,0.39,0.23137,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,常年性,2-配飾類,1,0.2,0.075,0.25,0.125,G01-1 國內採購,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,常年性,2-配飾類,5,1.571,0.34612,1.61,1.22488,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,常年性,9-雜項類,22,0,0,105.5,0,G01-1 國內採購,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,18-CL-Chocolat,06秋冬,0-外出服,23,51.9,30.11757,88.1,21.78243,G01-2 國外採購,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,18-CL-Chocolat,06秋冬,2-配飾類,6,4.84,3.11178,6.4,1.72822,G01-2 國外採購,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,18-CL-Chocolat,07春夏,0-外出服,6,12.98,6.76135,15.5,6.21865,G01-2 國外採購,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,19-CF-Catimini,06春夏,2-配飾類,1,0,0.16309,0.45,-0.16309,G01-2 國外採購,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,19-CF-Catimini,06秋冬,0-外出服,8,8.57,6.27243,22,2.29757,G01-2 國外採購,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,19-CF-Catimini,06秋冬,2-配飾類,5,3.995,1.67473,5.05,2.32027,G01-2 國外採購,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,19-CF-Catimini,07春夏,0-外出服,35,65.75,24.32081857,78.5,41.429181,G01-2 國外採購,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,19-CF-Catimini,07春夏,2-配飾類,5,2.79,1.26,3.1,1.53,G01-2 國外採購,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,97-LS-Other baby accessar,常年性,4-用品類,46,36.186,20.315635,40.76,15.870365,G01-1 國內採購,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,忠誠門市-PLUS,卷退金額,,,0,-8,0,0,-8,,25.1113356,121.5278574
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,02-MN-My Nuno,06秋冬,3-鞋類,6,4.694,1.558,6.64,3.136,G02-1 國內生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,02-MN-My Nuno,07春夏,3-鞋類,3,3.57,0.82,3.57,2.75,G02-1 國內生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,02-MN-My Nuno,常年性,3-鞋類,3,2.376,1.14865,2.97,1.22735,G02-1 國內生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,06春秋,1-內著類,15,8.973,3.24036,10.85,5.73264,G02-1 國內生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,06春夏,0-外出服,1,2.88,1.72907,4.8,1.15093,G01-2 國外採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,06春夏,0-外出服,1,1.68,1.11833,2.8,0.56167,G02-1 國內生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,06春夏,2-配飾類,10,2.614,1.1856,3.17,1.4284,G01-1 國內採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,06春夏,2-配飾類,9,2.322,0.55808,2.57,1.76392,G02-1 國內生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,06春夏,5-寢具類,2,1.2,0.79993,2.02,0.40007,G01-1 國內採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,06秋,1-內著類,6,2.547,0.84488,3.12,1.70212,G02-1 國內生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,06秋冬,0-外出服,6,7.48,2.75,13.4,4.73,G01-1 國內採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,06秋冬,0-外出服,3,10.15,6.78791,20.3,3.36209,G01-2 國外採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,06秋冬,0-外出服,26,35.94,19.17381,66.1,16.76619,G02-1 國內生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,06秋冬,2-配飾類,28,6.674,2.206,8.13,4.468,G01-1 國內採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,06秋冬,2-配飾類,14,4.574,1.33763,5.62,3.23637,G02-1 國內生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,06秋冬,3-鞋類,3,7.04,3.53006,8.8,3.50994,G01-2 國外採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,07春秋,1-內著類,43,24.658,7.87018,26.77,16.78782,G02-1 國內生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,07春夏,0-外出服,6,13.06,2.66,14.3,10.4,G01-1 國內採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,07春夏,0-外出服,38,70.6,24.99355,81.3,45.60645,G02-1 國內生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,07春夏,2-配飾類,13,4.149,1.392,4.47,2.757,G01-1 國內採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,07春夏,2-配飾類,30,11.763,3.14074,12.52,8.62226,G02-1 國內生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,07夏,1-內著類,22,12.697,4.01484,14.3,8.68216,G02-1 國內生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,常年性,0-外出服,5,9.229,3.09524,13.37,6.13376,G02-1 國內生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,常年性,1-內著類,8,2.669,0.78126,3.41,1.88774,G02-1 國內生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,常年性,2-配飾類,6,1.431,0.517,1.76,0.914,G01-1 國內採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,常年性,2-配飾類,10,4.183,0.97745,4.42,3.20555,G02-1 國內生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,03-PC-Petit Chou,常年性,9-雜項類,24,0,0,120,0,G01-1 國內採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,18-CL-Chocolat,06春夏,0-外出服,3,5.04,3.50565,8.4,1.53435,G01-2 國外採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,18-CL-Chocolat,06秋冬,0-外出服,42,78.77,42.39042,150.3,36.37958,G01-2 國外採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,18-CL-Chocolat,06秋冬,2-配飾類,4,3.44,2.04297,4.3,1.39703,G01-2 國外採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,18-CL-Chocolat,06秋冬,3-鞋類,1,1.2,0.72785,1.5,0.47215,G01-2 國外採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,18-CL-Chocolat,07春夏,0-外出服,11,28.3,14.72743,33.4,13.57257,G01-2 國外採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,18-CL-Chocolat,07春夏,3-鞋類,4,5.85,2.9504,6,2.8996,G01-2 國外採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,19-CF-Catimini,06春夏,0-外出服,4,5.851,2.84711,9.42,3.00389,G01-2 國外採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,19-CF-Catimini,06春夏,2-配飾類,2,0,0.32565,0.9,-0.32565,G01-2 國外採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,19-CF-Catimini,06秋冬,0-外出服,84,129.23,57.20347,240.8,72.02653,G01-2 國外採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,19-CF-Catimini,06秋冬,2-配飾類,13,7.48,3.34102,9.35,4.13898,G01-2 國外採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,19-CF-Catimini,07春夏,0-外出服,42,67.23,24.01018,77.8,43.21982,G01-2 國外採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,19-CF-Catimini,07春夏,2-配飾類,4,2.925,1.2,3.15,1.725,G01-2 國外採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,97-LS-Other baby accessar,常年性,4-用品類,41,40.599,22.40279,45.27,18.19621,G01-1 國內採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,97-LS-Other baby accessar,常年性,4-用品類,1,0.973,0.72825,1.39,0.24475,G01-2 國外採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,97-LS-Other baby accessar,常年性,5-寢具類,0,-2.176,-1.4019,-0.62,-0.7741,G01-1 國內採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,99-OR-Others,常年性,4-用品類,1,18,10.149,20,7.851,G01-1 國內採購,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,安和門市-PLUS,99-OR-Others,常年性,9-雜項類,0,6.201,0,76.395,6.201,G02-2 國外生產,25.0338542,121.550238
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,02-MN-My Nuno,06秋冬,3-鞋類,2,1.664,0.548,2.08,1.116,G02-1 國內生產,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,02-MN-My Nuno,07春夏,3-鞋類,3,2.813,0.84,3.17,1.973,G02-1 國內生產,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,02-MN-My Nuno,常年性,3-鞋類,2,1.584,0.76575,1.98,0.81825,G02-1 國內生產,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,06春秋,1-內著類,11,6.069,2.14396,7.33,3.92504,G02-1 國內生產,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,06春夏,0-外出服,1,0.96,0.45,1.6,0.51,G01-1 國內採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,06春夏,0-外出服,4,18.73,15.08035,28.9,3.64965,G01-2 國外採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,06春夏,0-外出服,1,1.26,0.58101,2.1,0.67899,G02-1 國內生產,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,06春夏,2-配飾類,6,0.954,0.4256,1.19,0.5284,G01-1 國內採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,06春夏,2-配飾類,2,3.04,1.5602,3.8,1.4798,G01-2 國外採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,06春夏,2-配飾類,5,0.522,0.30411,1.12,0.21789,G02-1 國內生產,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,06春夏,5-寢具類,3,7.236,2.77656,8.04,4.45944,G01-1 國內採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,06秋,1-內著類,5,2.136,0.74942,2.67,1.38658,G02-1 國內生產,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,06秋冬,0-外出服,1,1.9,0.51,3.8,1.39,G01-1 國內採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,06秋冬,0-外出服,3,14.9,11.97221,29.8,2.92779,G01-2 國外採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,06秋冬,0-外出服,6,9.87,5.25081,18.2,4.61919,G02-1 國內生產,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,06秋冬,2-配飾類,3,1.522,0.324,1.85,1.198,G01-1 國內採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,06秋冬,2-配飾類,3,0.568,0.14855,0.71,0.41945,G02-1 國內生產,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,06秋冬,3-鞋類,0,0.24,0,0.3,0.24,G01-2 國外採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,07春秋,1-內著類,17,8.945,3.08925,10.11,5.85575,G02-1 國內生產,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,07春夏,0-外出服,7,13.71,4.52742,15.3,9.18258,G02-1 國內生產,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,07春夏,2-配飾類,1,0.19,0.095,0.19,0.095,G01-1 國內採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,07春夏,2-配飾類,15,4.373,1.20334,4.92,3.16966,G02-1 國內生產,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,07夏,1-內著類,11,6.667,2.17853,7.27,4.48847,G02-1 國內生產,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,常年性,0-外出服,1,0.966,-0.06935,1.38,1.03535,G02-1 國內生產,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,常年性,1-內著類,5,1.8,0.55981,2.25,1.24019,G02-1 國內生產,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,03-PC-Petit Chou,常年性,2-配飾類,5,1.489,0.31226,1.71,1.17674,G02-1 國內生產,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,18-CL-Chocolat,06春夏,2-配飾類,1,1.52,0.922,1.9,0.598,G01-2 國外採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,18-CL-Chocolat,06秋冬,0-外出服,4,5.72,4.3129,10.8,1.4071,G01-2 國外採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,18-CL-Chocolat,06秋冬,2-配飾類,2,1.59,0.97534,1.9,0.61466,G01-2 國外採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,18-CL-Chocolat,07春夏,0-外出服,1,1.8,0.7376,2,1.0624,G01-2 國外採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,18-CL-Chocolat,07春夏,3-鞋類,1,1.35,0.7376,1.5,0.6124,G01-2 國外採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,19-CF-Catimini,06春夏,0-外出服,19,26.111,12.61141,43.85,13.49959,G01-2 國外採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,19-CF-Catimini,06春夏,2-配飾類,17,0.68,2.9096,7.99,-2.2296,G01-2 國外採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,19-CF-Catimini,06秋冬,0-外出服,32,46.36,23.25869,87.5,23.10131,G01-2 國外採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,19-CF-Catimini,06秋冬,2-配飾類,2,1.38,0.59108,1.8,0.78892,G01-2 國外採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,19-CF-Catimini,07春夏,0-外出服,7,13.7,5.19446,16.4,8.50554,G01-2 國外採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,19-CF-Catimini,07春夏,2-配飾類,2,1.62,0.68,1.8,0.94,G01-2 國外採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,19-CF-Catimini,07春夏,3-鞋類,1,1.08,0.46,1.2,0.62,G01-2 國外採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,25-NN-NacNac,常年性,4-用品類,2,0.78,0.17672,0.78,0.60328,G01-1 國內採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,97-LS-Other baby accessar,常年性,4-用品類,19,13.205,7.546655,15.3,5.658345,G01-1 國內採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,97-LS-Other baby accessar,常年性,5-寢具類,1,2.5,1.4,2.5,1.1,G01-1 國內採購,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,民生門市-PLUS,卷退金額,,,0,-1.5,0,0,-1.5,,25.05909,121.562303
PLUS,2007年,2007年,3月,3月-07,PLUS一區,台北101-CF,19-CF-Catimini,06春夏,2-配飾類,16,6.84,3.04886,8.3,3.79114,G01-2 國外採購,25.0357054,121.5641155
PLUS,2007年,2007年,3月,3月-07,PLUS一區,台北101-CF,19-CF-Catimini,06秋冬,0-外出服,116,187.86,84.50415,344,103.35585,G01-2 國外採購,25.0357054,121.5641155
PLUS,2007年,2007年,3月,3月-07,PLUS一區,台北101-CF,19-CF-Catimini,06秋冬,2-配飾類,14,8.946,3.77175,10.91,5.17425,G01-2 國外採購,25.0357054,121.5641155
PLUS,2007年,2007年,3月,3月-07,PLUS一區,台北101-CF,19-CF-Catimini,07春夏,0-外出服,68,130.1,43.25658857,140,86.843411,G01-2 國外採購,25.0357054,121.5641155
PLUS,2007年,2007年,3月,3月-07,PLUS一區,台北101-CF,19-CF-Catimini,07春夏,2-配飾類,10,7.785,3.44,8.65,4.345,G01-2 國外採購,25.0357054,121.5641155
PLUS,2007年,2007年,3月,3月-07,PLUS一區,台北101-CF,19-CF-Catimini,常年性,9-雜項類,97,0,0,138.5,0,G01-1 國內採購,25.0357054,121.5641155
PLUS,2007年,2007年,3月,3月-07,PLUS一區,台北101-CF,99-OR-Others,常年性,9-雜項類,2,0,0,29.996,0,G02-2 國外生產,25.0357054,121.5641155
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,02-MN-My Nuno,07春夏,3-鞋類,8,9.527,3.279333333,10.42,6.247667,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,02-MN-My Nuno,07春夏,9-雜項類,1,0,0,5,0,G01-1 國內採購,25.1113356,121.5278574
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,06春秋,1-內著類,7,4.392,1.55595,5.21,2.83605,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,06春夏,2-配飾類,8,2.922,1.14176,2.96,1.78024,G01-1 國內採購,25.1113356,121.5278574
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,06春夏,2-配飾類,2,1.6,0.49934,1.6,1.10066,G01-2 國外採購,25.1113356,121.5278574
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,06春夏,2-配飾類,6,1.466,0.34713,1.69,1.11887,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,06秋冬,2-配飾類,1,0.21,0.085,0.21,0.125,G01-1 國內採購,25.1113356,121.5278574
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,07春秋,1-內著類,31,17.644,5.50674,19.01,12.13726,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,07春夏,0-外出服,3,5.8,1.25,6.7,4.55,G01-1 國內採購,25.1113356,121.5278574
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,07春夏,0-外出服,39,76.14,29.22086,88.2,46.91914,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,07春夏,2-配飾類,-1,-0.14,-0.11,-0.2,-0.03,G01-1 國內採購,25.1113356,121.5278574
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,07春夏,2-配飾類,13,6.47,2.13011,6.74,4.33989,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,07夏,1-內著類,15,10.159,3.07539,10.51,7.08361,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,常年性,1-內著類,1,0.49,0.13285,0.49,0.35715,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,常年性,2-配飾類,8,3.01,0.58919,3.04,2.42081,G02-1 國內生產,25.1113356,121.5278574
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,03-PC-Petit Chou,常年性,9-雜項類,1250,0,0,5250,0,G01-1 國內採購,25.1113356,121.5278574
PLUS,2007年,2007年,4月,4月-07,PLUS一區,忠誠門市-PLUS,18-CL-Chocolat,06春夏,2-配飾類,1,4.32,4.15758,4.8,0.16242,G01-2 國外採購,25.1113356,121.5278574
